列1,FT,SQ,CS,FS,AF,Epit
1,775.7,237,5.77,0.4116,1.026,-0.553911328
2,864.667,295,5.43,0.4196,0.9234,-0.26959458
3,826,257,5.561,0.4376,1.22,-0.292290807
4,367.7,296,6.23,0.4187,1.2402,-0.228802606
5,1075.2,224,8.32,0.4348,0.9102,-0.457298845
6,830.5,248,3.9015,0.42811,1.0062,-0.336763263
7,1235.1,317,2.801,0.4276,0.9712,-0.33768338
8,1584.8,393,7.738,0.4311,0.9942,-0.238923952
9,1295.1,293,7.5311,0.4156,1.193,-0.226655692
10,2225.3,327,8.44,0.4379,1.0062,-0.537962615
11,1778.2,244,6.13,0.4267,0.8842,-0.353938788
12,538,385,5.319,0.4305,1.2072,-0.46465981
13,2180.1,298,11.64,0.4267,0.8748,-0.295051217
14,1215,201,6.8211,0.4296,0.8246,-0.503304839
15,905,266,5.6319,0.4248,0.9574,-0.404238701
16,1823,362,7.62,0.4268,0.945,-0.092625022
17,2090.3,238,5.2613,0.4247,1.0032,-0.317747474
18,1605.2,267,9.34,0.4246,0.8986,-0.323881596
19,1165.2,251,7.298,0.4269,0.9326,0.02883069
20,1475.3,276,7.64,0.4307,1.0398,-0.315293819
21,1120.1,227,7.22,0.4197,1.3406,-0.132496804
22,1685.1,245,6.22,0.4367,0.8898,-0.3916637
23,1050.4,182,10.2716,0.4287,0.7666,-0.369274139
24,2435.3,793,14.691,0.4017,0.9048,0.802650809
25,1735.6,274,7.52,0.4376,1.1208,-0.353325397
26,1808.58,352,9.44,0.4267,0.7006,-0.304865807
27,1333.67,443,12.218,0.4068,0.9462,-0.410679489
28,1115.6,343,13.505,0.41911,0.8168,-0.26254034
29,2005.778,453,20.47,0.4096,1.0394,-0.228495926
30,1690,249,8.589,0.4077,1.035,-0.249351993
31,1386.8,451,12.85,0.4197,0.7594,0.104587153
32,1751.778,219,12.82,0.4226,0.9126,-0.278795779
33,1310.1,421,12.017,0.4156,1.0948,-0.436442792
34,2075.2,322,20.0913,0.4207,0.9574,0.265301287
35,1700.111,379,12.05,0.4167,0.8206,-0.134643793
36,1930.1,343,20.57,0.4018,1.1232,-0.03097705
37,2215.6,595,17.32,0.4278,0.8408,0.100599974
38,2145.6,639,12.07,0.4221,0.781,0.672607303
39,2195.4,458,12.5636,0.4208,0.9234,-0.422641039
40,1813.2,724,25.77,0.4006,1.1086,0.276956111
41,1785,407,18.97,0.4088,0.836,0.240458071
42,1350.5,779,12.3317,0.4117,0.892,0.644390285
43,2170.6,522,13.347,0.4249,1.0928,0.568020523
44,2660.4,1373.333333,15.9911,0.3927,1.0738,1.147389
45,1840.7,767,10.94,0.4099,0.536,0.49594444
46,1812.5,639,21.55,0.4116,0.8958,0.690702975
47,2375.5,722,10.32,0.3868,0.766,0.968272209
48,2225.8,705,15.91,0.4107,0.8534,0.968272209
49,2248.1,876,20.0212,0.4076,0.9476,0.17789
50,2602.9,803,20.0212,0.4108,0.6396,0.822893381
51,3455.2,1188,12.919,0.4116,0.8526,0.524468124
52,3427.889,998,15.07,0.3888,1.0408,1.120091796
53,2185.7,538,24.4713,0.4006,1.1392,0.120842591
54,4005.556,873,13.1115,0.3946,0.561,0.987594724
55,2840,498,23.99,0.4116,1.026,0.476928651
56,3880.1,650,22.9323,0.3956,0.5918,1.176525831
57,3880.6,835.667,12.22,0.3976,1.0704,1.0734725
58,3871.3,1171,13.039,0.3916,0.9462,0.60053128
59,2275.2,667,14.9406,0.3966,0.4918,1.241547585
60,1844.778,457,6.45,0.4076,0.654,0.241378188
61,3044.4,442.7,18.93,0.3937,1.156,0.236166827
62,3430.1,560,15.209,0.4056,1.0634,0.311613947
63,2890.8,1204.67,12.469,0.3896,0.967,1.137267351
64,3736.7,995,16.815,0.3966,0.8408,1.219158053
65,4890.2,1108,14.8014,0.3795,1.1806,0.930854023
66,2755.2,731,12.74,0.4006,0.927,0.211014256
67,3075,1027,12.43,0.3998,0.5628,0.946802795
68,3055,697,10.9017,0.3927,0.9154,0.741922915
69,3020.4,871,17.35,0.4016,0.7538,0.389210641
70,3028.7,1236,14.55,0.3955,0.9466,1.001703143
71,2918.2,1066.666667,15.299,0.4017,1.0914,0.368354589
72,3380,1081,13.03,0.3857,0.687,0.190771639
73,406.429,299,5.68115,0.4258,0.875,-0.170528397
74,1337.13,416,13.1016,0.4116,1.1182,0.299345702
75,2078,578,12.291,0.4047,0.9588,0.325722396
76,2680,621,12.25,0.3855,1.2508,0.840682387
77,4580.2,880,13.0623,0.3915,0.8136,0.567713737
78,3680,1253,14.7211,0.3926,1.089,0.818292797
79,3695.2,915,16.83,0.3905,0.9466,0.469567686
80,5008.444444,1076,32.1,0.3865,0.9608,0.262234211
81,3774,1085,14.02,0.3945,0.6256,1.266083956
82,5700.3,882,16.631,0.3726,0.8266,0.472021341
83,1164,333,5.33741,0.4209,1.1078,-0.332162708
84,2510.1,1002,12.3012,0.3786,0.875,0.242911711
85,2765.4,789,16.413,0.3866,0.9462,0.412213624
86,3875.8,822,12.7819,0.3806,0.668,0.425708681
87,4005.3,834,33.212,0.3847,0.653,1.174378872
88,5153.7,1070.667,20.46,0.3766,0.735,0.409759969
89,4807.1,954,15.63,0.3847,0.6328,0.364074445
90,7598.818,971,14.84,0.3756,0.7624,0.473248184
